Extroversion,Agreeableness,Conscientiousness,Emotional Stability,Intellect/Imagination
41,56,62,7,23
29,89,46,22,23
11,76,98,89,34
33,67,95,57,14
29,62,87,78,59
45,62,76,70,40
4,35,92,19,8
37,76,95,94,76
67,62,84,74,14
58,89,95,57,76
50,40,62,89,40
67,25,98,94,52
29,51,12,39,11
45,87,98,91,52
29,40,96,57,14
29,67,57,48,40
93,45,96,78,70
67,76,67,57,80
63,62,84,43,65
70,95,95,70,70
95,83,76,87,40
7,89,92,48,46
63,25,76,70,34
58,45,52,89,88
95,89,36,93,65
22,67,72,19,34
41,35,96,70,95
67,71,18,89,76
70,89,95,74,76
22,67,93,48,23
33,11,93,66,18
58,83,87,74,80
37,71,97,94,40
37,14,93,34,14
22,17,97,48,4
7,71,95,39,59
11,71,92,9,95
29,80,93,74,23
37,56,67,78,14
67,80,97,97,52
13,51,87,84,76
6,17,98,16,28
6,56,97,30,70
11,51,95,96,76
13,35,93,34,88
70,25,92,91,28
22,62,96,57,34
19,62,18,30,14
78,87,96,74,65
58,56,96,93,23
41,83,95,78,28
70,21,93,74,6
11,11,98,93,8
25,80,87,78,8
16,30,89,84,34
63,62,93,96,76
54,89,95,96,52
67,67,57,87,84
11,67,98,48,14
74,67,87,62,70
78,76,41,34,76
67,4,36,98,40
54,93,93,74,80
58,87,80,66,28
98,95,95,62,93
95,83,41,11,52
83,67,93,7,88
11,21,95,93,46
63,67,95,98,59
67,89,97,93,28
41,67,84,48,28
25,56,95,96,91
67,21,52,52,40
37,62,80,78,34
58,62,67,22,28
67,30,97,70,46
25,51,84,74,18
83,91,26,34,14
33,5,97,34,28
4,62,84,84,23
41,51,67,39,91
58,67,9,52,34
50,67,93,66,28
74,56,95,70,40
1,30,98,5,11
78,40,52,78,52
4,67,76,26,6
45,71,80,43,18
74,76,80,66,18
86,56,89,81,95
11,17,89,98,14
11,25,96,84,40
54,45,98,62,34
63,21,97,70,52
74,89,89,34,84
88,93,80,89,80
58,87,87,87,28
29,56,87,84,34
6,67,98,57,34
45,76,72,39,46
19,30,89,99,76
19,25,84,34,4
70,91,89,89,52
67,71,67,98,11
